# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.7,4.425,0.0,0,2.5,0,180.0,0.0,0.0
 0.09798452720947472,1.7120012094655803,4.425,0.0,0.2449613180236868,2.5,0,180.0,0.0,0.0
 0.1385779922696564,1.7240048249268611,4.425,0.0,0.3464449806741409,2.4999999999999982,0,180.0,0.0,0.0
 0.16973114500444744,1.736010826980651,4.425,0.0,0.42432786251111854,2.4999999999999996,0,180.0,0.0,0.0
 0.19599835963345896,1.7480191962237583,4.425,0.0,0.4899958990836474,2.5000000000000018,0,180.0,0.0,0.0
 0.21914363007487653,1.7600299132529929,4.425,0.0,0.5478590751871912,2.499999999999998,0,180.0,0.0,0.0
 0.24007158709878684,1.772042958665163,4.425,0.0,0.600178967746967,2.4999999999999987,0,180.0,0.0,0.0
 0.259319591326344,1.7840583130570775,4.425,0.0,0.6482989783158599,2.4999999999999987,0,180.0,0.0,1.5861965812688217e-12
 0.27723774205622964,1.7960759570255456,4.425,0.0,0.6930943551405739,2.4999999999999987,0,180.00000000000003,0.0,-1.6886060742716075e-12
 0.29406920432765604,1.8080958711673758,4.425,0.0,0.7351730108191399,2.499999999999997,0,180.0,0.0,0.0
 0.30999101416573643,1.8201180360793772,4.425,0.0,0.7749775354143409,2.5000000000000018,0,180.0,0.0,0.0
 0.3251368110298909,1.8321424323583586,4.425,0.0,0.8128420275747269,2.4999999999999907,0,180.0,0.0,0.0
 0.3396104127981107,1.8441690406011289,4.425,0.0,0.8490260319952765,2.5000000000000018,0,180.0,0.0,0.0
 0.35349437495326225,1.8561978414044968,4.425,0.0,0.8837359373831553,2.499999999999996,0,180.0,0.0,2.1271738429209482e-12
 0.36685562867730037,1.8682288153652715,4.425,0.0,0.9171390716932506,2.500000000000002,0,180.00000000000003,0.0,-2.204309399895709e-12
 0.37974933109119413,1.8802619430802616,4.425,0.0,0.949373327727985,2.5,0,180.0,0.0,0.0
 0.3922215752824173,1.892297205146276,4.425,0.0,0.980553938206043,2.5000000000000044,0,180.0,0.0,0.0
 0.40431134751339715,1.9043345821601236,4.425,0.0,1.0107783687834926,2.5,0,180.0,0.0,0.0
 0.4160519724444183,1.9163740547186137,4.425,0.0,1.0401299311110455,2.499999999999993,0,180.0,0.0,-2.4887163142515778e-12
 0.42747220112522366,1.9284156034185544,4.425,0.0,1.0686805028130588,2.500000000000002,0,179.99999999999997,0.0,2.5547964602932125e-12
 0.4385970440910473,1.940459208856755,4.425,0.0,1.0964926102276178,2.499999999999995,0,180.0,0.0,0.0
 0.4494484189581932,1.9525048516300243,4.425,0.0,1.1236210473954826,2.5,0,180.0,0.0,0.0
 0.4600456606339603,1.964552512335171,4.425,0.0,1.1501141515849003,2.499999999999992,0,180.0,0.0,0.0
 0.4704059281675814,1.9766021715690045,4.425,0.0,1.176014820418953,2.5000000000000027,0,180.0,0.0,2.8033157066146194e-12
 0.48054453273621456,1.9886538099283333,4.425,0.0,1.201361331840536,2.500000000000011,0,180.00000000000003,0.0,-2.862012720308088e-12
 0.4904752046821256,2.000707408009966,4.425,0.0,1.2261880117053137,2.5000000000000058,0,180.0,0.0,-2.919506265664156e-12
 0.5002103128970546,2.0127629464107115,4.425,0.0,1.2505257822426366,2.5000000000000226,0,179.99999999999997,0.0,0.0
 0.5097610465521111,2.0248204057273793,4.425,0.0,1.2744026163802775,2.4999999999999885,0,179.99999999999997,0.0,6.062314959153535e-12
 0.5191375667830469,2.036879766556778,4.425,0.0,1.297843916957617,2.4999999999999942,0,180.00000000000003,0.0,-3.0854368407463963e-12
 0.5283491341873982,2.0489410094957163,4.425,0.0,1.320872835468495,2.499999999999994,0,180.0,0.0,0.0
 0.537404216686846,2.061004115141003,4.425,0.0,1.343510541717115,2.500000000000018,0,180.0,0.0,0.0
 0.5463105813285678,2.073069064089447,4.425,0.0,1.3657764533214194,2.5,0,180.0,0.0,0.0
 0.5550753728551521,2.0851358369378574,4.425,0.0,1.3876884321378802,2.500000000000013,0,180.0,0.0,0.0
 0.563705181301746,2.0972044142830426,4.425,0.0,1.4092629532543648,2.499999999999987,0,180.0,0.0,0.0
 0.5722061004371153,2.1092747767218123,4.425,0.0,1.430515251092788,2.5,0,180.0,0.0,0.0
 0.5805837785201893,2.121346904850975,4.425,0.0,1.451459446300473,2.5,0,180.0,0.0,0.0
 0.5888434625720758,2.133420779267339,4.425,0.0,1.4721086564301893,2.5,0,180.0,0.0,0.0
 0.5969900371481682,2.145496380567714,4.425,0.0,1.4924750928704205,2.5,0,180.0,0.0,0.0
 0.6050280584230177,2.157573689348908,4.425,0.0,1.5125701460575443,2.5000000000000275,0,180.0,0.0,0.0
 0.6129617842624324,2.1696526862077308,4.425,0.0,1.5324044606560812,2.5,0,180.0,0.0,0.0
 0.6207952008454902,2.1817333517409905,4.425,0.0,1.5519880021137256,2.499999999999986,0,180.0,0.0,0.0
 0.6285320463082191,2.1938156665454964,4.425,0.0,1.5713301157705477,2.499999999999986,0,180.0,0.0,0.0
 0.6361758318063067,2.2058996112180576,4.425,0.0,1.5904395795157666,2.5000000000000147,0,180.0,0.0,0.0
 0.6437298603330326,2.217985166355482,4.425,0.0,1.6093246508325816,2.5000000000000147,0,180.0,0.0,0.0
 0.6511972435780603,2.2300723125545794,4.425,0.0,1.627993108945151,2.5000000000000075,0,180.0,0.0,0.0
